Date : 2024-08-29 09:27:33
Directory : c:\Code\MeetMate\backend
Total : 116 files,  -7168 codes, -175 comments, -611 blanks, all -7954 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |      1,884 |          0 |          2 |      1,886 |
| Properties |          1 |          5 |          0 |          0 |          5 |
| CSS        |          2 |        -51 |          0 |        -11 |        -62 |
| JavaScript |        111 |     -9,006 |       -175 |       -602 |     -9,783 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        116 |     -7,168 |       -175 |       -611 |     -7,954 |
| . (Files)                                                                   |          5 |      2,055 |          3 |         28 |      2,086 |
| ..                                                                          |         73 |    -10,011 |       -180 |       -757 |    -10,948 |
| ..\src                                                                      |         73 |    -10,011 |       -180 |       -757 |    -10,948 |
| ..\src (Files)                                                              |          4 |        -87 |         -4 |        -11 |       -102 |
| ..\src\Components                                                           |          3 |       -181 |          0 |        -12 |       -193 |
| ..\src\Routes                                                               |          1 |       -223 |         -2 |         -6 |       -231 |
| ..\src\Utilites                                                             |          9 |       -612 |        -67 |        -94 |       -773 |
| ..\src\Utilites (Files)                                                     |          3 |       -147 |         -3 |        -24 |       -174 |
| ..\src\Utilites\Functions                                                   |          3 |       -354 |        -63 |        -40 |       -457 |
| ..\src\Utilites\Hooks                                                       |          3 |       -111 |         -1 |        -30 |       -142 |
| ..\src\Views                                                                |         56 |     -8,908 |       -107 |       -634 |     -9,649 |
| ..\src\Views\Components                                                     |          9 |       -849 |        -29 |        -70 |       -948 |
| ..\src\Views\Components\Banner                                              |          5 |       -338 |        -13 |        -37 |       -388 |
| ..\src\Views\Components\Banner (Files)                                      |          1 |        -48 |          0 |         -5 |        -53 |
| ..\src\Views\Components\Banner\Components                                   |          4 |       -290 |        -13 |        -32 |       -335 |
| ..\src\Views\Components\DisplayMeeting                                      |          1 |       -116 |          0 |         -6 |       -122 |
| ..\src\Views\Components\PageSelector                                        |          1 |        -30 |          0 |         -4 |        -34 |
| ..\src\Views\Components\SideBar                                             |          2 |       -365 |        -16 |        -23 |       -404 |
| ..\src\Views\Pages                                                          |         47 |     -8,059 |        -78 |       -564 |     -8,701 |
| ..\src\Views\Pages\ApprovalQueue                                            |          2 |       -404 |          0 |        -28 |       -432 |
| ..\src\Views\Pages\ApprovalQueue (Files)                                    |          1 |       -345 |          0 |        -26 |       -371 |
| ..\src\Views\Pages\ApprovalQueue\Components                                 |          1 |        -59 |          0 |         -2 |        -61 |
| ..\src\Views\Pages\BlockedDates                                             |          2 |       -340 |          0 |        -30 |       -370 |
| ..\src\Views\Pages\BlockedDates (Files)                                     |          1 |       -234 |          0 |        -22 |       -256 |
| ..\src\Views\Pages\BlockedDates\Components                                  |          1 |       -106 |          0 |         -8 |       -114 |
| ..\src\Views\Pages\Daily                                                    |          8 |     -1,200 |        -36 |        -85 |     -1,321 |
| ..\src\Views\Pages\Daily (Files)                                            |          1 |       -371 |          0 |        -13 |       -384 |
| ..\src\Views\Pages\Daily\Components                                         |          7 |       -829 |        -36 |        -72 |       -937 |
| ..\src\Views\Pages\Groups                                                   |          2 |       -279 |          0 |        -33 |       -312 |
| ..\src\Views\Pages\Groups (Files)                                           |          1 |       -223 |          0 |        -26 |       -249 |
| ..\src\Views\Pages\Groups\Components                                        |          1 |        -56 |          0 |         -7 |        -63 |
| ..\src\Views\Pages\Home                                                     |          1 |         -9 |          0 |         -4 |        -13 |
| ..\src\Views\Pages\Locations                                                |          1 |       -182 |          0 |        -17 |       -199 |
| ..\src\Views\Pages\Login                                                    |          2 |       -385 |          0 |         -9 |       -394 |
| ..\src\Views\Pages\Login (Files)                                            |          1 |        -98 |          0 |         -5 |       -103 |
| ..\src\Views\Pages\Login\Components                                         |          1 |       -287 |          0 |         -4 |       -291 |
| ..\src\Views\Pages\MeetingTypes                                             |          2 |       -308 |          0 |        -32 |       -340 |
| ..\src\Views\Pages\MeetingTypes (Files)                                     |          1 |       -249 |          0 |        -24 |       -273 |
| ..\src\Views\Pages\MeetingTypes\Components                                  |          1 |        -59 |          0 |         -8 |        -67 |
| ..\src\Views\Pages\Monthly                                                  |          7 |     -1,041 |        -19 |        -67 |     -1,127 |
| ..\src\Views\Pages\Monthly (Files)                                          |          1 |       -374 |          0 |        -13 |       -387 |
| ..\src\Views\Pages\Monthly\Components                                       |          6 |       -667 |        -19 |        -54 |       -740 |
| ..\src\Views\Pages\MyAccount                                                |          1 |       -107 |          0 |         -8 |       -115 |
| ..\src\Views\Pages\MyBookings                                               |          2 |       -674 |          0 |        -37 |       -711 |
| ..\src\Views\Pages\MyBookings (Files)                                       |          1 |       -615 |          0 |        -34 |       -649 |
| ..\src\Views\Pages\MyBookings\Components                                    |          1 |        -59 |          0 |         -3 |        -62 |
| ..\src\Views\Pages\Resources                                                |          4 |       -527 |          0 |        -60 |       -587 |
| ..\src\Views\Pages\Resources (Files)                                        |          2 |       -424 |          0 |        -43 |       -467 |
| ..\src\Views\Pages\Resources\Components                                     |          2 |       -103 |          0 |        -17 |       -120 |
| ..\src\Views\Pages\Rooms                                                    |          3 |       -562 |         -2 |        -41 |       -605 |
| ..\src\Views\Pages\Rooms (Files)                                            |          1 |       -279 |          0 |        -29 |       -308 |
| ..\src\Views\Pages\Rooms\Components                                         |          2 |       -283 |         -2 |        -12 |       -297 |
| ..\src\Views\Pages\Users                                                    |          3 |     -1,007 |         -2 |        -47 |     -1,056 |
| ..\src\Views\Pages\Users (Files)                                            |          1 |       -693 |          0 |        -32 |       -725 |
| ..\src\Views\Pages\Users\Components                                         |          2 |       -314 |         -2 |        -15 |       -331 |
| ..\src\Views\Pages\Weekly                                                   |          7 |     -1,034 |        -19 |        -66 |     -1,119 |
| ..\src\Views\Pages\Weekly (Files)                                           |          1 |       -371 |          0 |        -14 |       -385 |
| ..\src\Views\Pages\Weekly\Components                                        |          6 |       -663 |        -19 |        -52 |       -734 |
| config                                                                      |          1 |         26 |          0 |          4 |         30 |
| controllers                                                                 |         12 |        156 |          0 |         48 |        204 |
| models                                                                      |         13 |        546 |          2 |         39 |        587 |
| routes                                                                      |         12 |         60 |          0 |         27 |         87 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
