Date : 2024-09-20 13:55:45
Directory : c:\Code\MeetMate\src
Total : 83 files,  10650 codes, 225 comments, 895 blanks, all 11770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         81 |     10,599 |        225 |        884 |     11,708 |
| CSS        |          2 |         51 |          0 |         11 |         62 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         83 |     10,650 |        225 |        895 |     11,770 |
| . (Files)                                                                           |          4 |         98 |          7 |         13 |        118 |
| Components                                                                          |          3 |        181 |          0 |         12 |        193 |
| Routes                                                                              |          1 |        223 |          2 |          6 |        231 |
| Utilites                                                                            |         19 |      1,407 |         88 |        189 |      1,684 |
| Utilites (Files)                                                                    |          3 |        153 |          4 |         22 |        179 |
| Utilites\Functions                                                                  |         13 |      1,143 |         83 |        137 |      1,363 |
| Utilites\Functions (Files)                                                          |          3 |        426 |         67 |         40 |        533 |
| Utilites\Functions\ApiFunctions                                                     |         10 |        717 |         16 |         97 |        830 |
| Utilites\Hooks                                                                      |          3 |        111 |          1 |         30 |        142 |
| Views                                                                               |         56 |      8,741 |        128 |        675 |      9,544 |
| Views\Components                                                                    |          9 |      1,148 |         29 |         79 |      1,256 |
| Views\Components\Banner                                                             |          5 |        339 |         13 |         37 |        389 |
| Views\Components\Banner (Files)                                                     |          1 |         48 |          0 |          5 |         53 |
| Views\Components\Banner\Components                                                  |          4 |        291 |         13 |         32 |        336 |
| Views\Components\DisplayMeeting                                                     |          1 |        409 |          0 |         15 |        424 |
| Views\Components\PageSelector                                                       |          1 |         30 |          0 |          4 |         34 |
| Views\Components\SideBar                                                            |          2 |        370 |         16 |         23 |        409 |
| Views\Pages                                                                         |         47 |      7,593 |         99 |        596 |      8,288 |
| Views\Pages\ApprovalQueue                                                           |          2 |        420 |          0 |         28 |        448 |
| Views\Pages\ApprovalQueue (Files)                                                   |          1 |        361 |          0 |         26 |        387 |
