"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"c:\Code\MeetMate\backend\.env", "Properties", 0, 0, 5, 0, 0, 5
"c:\Code\MeetMate\backend\app.js", "JavaScript", 0, 66, 0, 4, 10, 80
"c:\Code\MeetMate\backend\config\database.js", "JavaScript", 0, 26, 0, 0, 4, 30
"c:\Code\MeetMate\backend\controllers\blockedDateController.js", "JavaScript", 0, 77, 0, 11, 16, 104
"c:\Code\MeetMate\backend\controllers\groupController.js", "JavaScript", 0, 96, 0, 11, 20, 127
"c:\Code\MeetMate\backend\controllers\groupUserController.js", "JavaScript", 0, 92, 0, 14, 20, 126
"c:\Code\MeetMate\backend\controllers\meetingControler.js", "JavaScript", 0, 873, 0, 125, 158, 1156
"c:\Code\MeetMate\backend\controllers\meetingGroupController.js", "JavaScript", 0, 69, 0, 11, 17, 97
"c:\Code\MeetMate\backend\controllers\meetingRecurrenceController.js", "JavaScript", 0, 93, 0, 3, 12, 108
"c:\Code\MeetMate\backend\controllers\officeController.js", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Code\MeetMate\backend\controllers\resourceController.js", "JavaScript", 0, 69, 0, 11, 17, 97
"c:\Code\MeetMate\backend\controllers\roomController.js", "JavaScript", 0, 73, 0, 11, 17, 101
"c:\Code\MeetMate\backend\controllers\roomGroupController.js", "JavaScript", 0, 92, 0, 14, 20, 126
"c:\Code\MeetMate\backend\controllers\roomResourceController.js", "JavaScript", 0, 92, 0, 15, 20, 127
"c:\Code\MeetMate\backend\controllers\typeController.js", "JavaScript", 0, 69, 0, 11, 17, 97
"c:\Code\MeetMate\backend\controllers\userController.js", "JavaScript", 0, 217, 0, 29, 45, 291
"c:\Code\MeetMate\backend\package-lock.json", "JSON", 2435, 0, 0, 0, 1, 2436
"c:\Code\MeetMate\backend\package.json", "JSON", 21, 0, 0, 0, 1, 22
"c:\Code\MeetMate\backend\routes\blockedDates.js", "JavaScript", 0, 8, 0, 0, 3, 11
"c:\Code\MeetMate\backend\routes\groupUsers.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Code\MeetMate\backend\routes\groups.js", "JavaScript", 0, 9, 0, 0, 3, 12
"c:\Code\MeetMate\backend\routes\meetingGroups.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Code\MeetMate\backend\routes\meetingrecurrences.js", "JavaScript", 0, 7, 0, 0, 3, 10
"c:\Code\MeetMate\backend\routes\meetings.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Code\MeetMate\backend\routes\offices.js", "JavaScript", 0, 5, 0, 0, 3, 8
"c:\Code\MeetMate\backend\routes\resources.js", "JavaScript", 0, 8, 0, 1, 3, 12
"c:\Code\MeetMate\backend\routes\roomGroups.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Code\MeetMate\backend\routes\roomResources.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Code\MeetMate\backend\routes\rooms.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Code\MeetMate\backend\routes\types.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Code\MeetMate\backend\routes\users.js", "JavaScript", 0, 13, 0, 0, 2, 15
"Total", "-", 2456, 2136, 5, 271, 429, 5297
